,Acquisition Function,Trial,Datapoints Acquired,Best Solubility
391,Human,0,391,1.0824249982833862
392,Human,0,392,1.0824249982833862
393,Human,0,393,1.0824249982833862
394,Human,0,394,1.0824249982833862
395,Human,0,395,1.0824249982833862
396,Human,0,396,1.0824249982833862
397,Human,0,397,1.0824249982833862
398,Human,0,398,1.0824249982833862
399,Human,0,399,1.0824249982833862
400,Human,0,400,1.0824249982833862
401,Human,0,401,1.0824249982833862
402,Human,0,402,1.0824249982833862
403,Human,0,403,1.0824249982833862
404,Human,0,404,1.0824249982833862
405,Human,0,405,1.0824249982833862
406,Human,0,406,1.0824249982833862
407,Human,0,407,1.0824249982833862
408,Human,0,408,1.0824249982833862
409,Human,0,409,1.0824249982833862
410,Human,0,410,1.0824249982833862
411,Human,0,411,1.0824249982833862
412,Human,0,412,1.0824249982833862
413,Human,0,413,1.0824249982833862
414,Human,0,414,1.0824249982833862
415,Human,0,415,1.0824249982833862
416,Human,0,416,1.0824249982833862
417,Human,0,417,1.0824249982833862
418,Human,0,418,1.0824249982833862
419,Human,0,419,1.0824249982833862
420,Human,0,420,1.0824249982833862
421,Human,0,421,1.0824249982833862
422,Human,0,422,1.0824249982833862
423,Human,0,423,1.0824249982833862
424,Human,0,424,1.0824249982833862
425,Human,0,425,1.0824249982833862
426,Human,0,426,1.0824249982833862
427,Human,0,427,1.0824249982833862
428,Human,0,428,1.0824249982833862
429,Human,0,429,1.0824249982833862
430,Human,0,430,1.0824249982833862
431,Human,0,431,1.0824249982833862
432,Human,0,432,1.0824249982833862
433,Human,0,433,1.0824249982833862
434,Human,0,434,1.0824249982833862
435,Human,0,435,1.0824249982833862
436,Human,0,436,1.0824249982833862
437,Human,0,437,1.0824249982833862
438,Human,0,438,1.0824249982833862
439,Human,0,439,1.0824249982833862
440,Human,0,440,1.0824249982833862
441,Human,0,441,1.0824249982833862
442,Human,0,442,1.0824249982833862
443,Human,0,443,1.0824249982833862
444,Human,0,444,1.0824249982833862
445,Human,0,445,1.0824249982833862
446,Human,0,446,1.0824249982833862
447,Human,0,447,1.0824249982833862
448,Human,0,448,1.0824249982833862
449,Human,0,449,1.0824249982833862
450,Human,0,450,1.0824249982833862
451,Human,0,451,1.0824249982833862
452,Human,0,452,1.0824249982833862
453,Human,0,453,1.0824249982833862
454,Human,0,454,1.0824249982833862
455,Human,0,455,1.0824249982833862
456,Human,0,456,1.0824249982833862
457,Human,0,457,1.0824249982833862
458,Human,0,458,1.0824249982833862
459,Human,0,459,1.0824249982833862
460,Human,0,460,1.0824249982833862
461,Human,0,461,1.0824249982833862
462,Human,0,462,1.0824249982833862
463,Human,0,463,1.0824249982833862
464,Human,0,464,1.0824249982833862
465,Human,0,465,1.0824249982833862
466,Human,0,466,1.0824249982833862
467,Human,0,467,1.0824249982833862
468,Human,0,468,1.0824249982833862
469,Human,0,469,1.0824249982833862
470,Human,0,470,1.0824249982833862
471,Human,0,471,1.0824249982833862
472,Human,0,472,1.0824249982833862
473,Human,0,473,1.0824249982833862
474,Human,0,474,1.0824249982833862
475,Human,0,475,1.0824249982833862
476,Human,0,476,1.0824249982833862
477,Human,0,477,1.0824249982833862
478,Human,0,478,1.0824249982833862
479,Human,0,479,1.0824249982833862
480,Human,0,480,1.0824249982833862
481,Human,0,481,1.0824249982833862
482,Human,0,482,1.0824249982833862
483,Human,0,483,1.0824249982833862
484,Human,0,484,1.0824249982833862
485,Human,0,485,1.0824249982833862
486,Human,0,486,1.0824249982833862
487,Human,0,487,1.0824249982833862
488,Human,0,488,1.0824249982833862
489,Human,0,489,1.0824249982833862
490,Human,0,490,1.0824249982833862
