,0,1,2
247,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,0.772,7.8125
248,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,99.0,61.38393
249,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,49.5,54.01786
250,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,24.8,24.77678
251,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,12.4,18.97321
252,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,6.19,4.6875
253,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,3.71,8.928572
254,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,1.24,-1.785714
255,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,0.772,3.794643
256,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,99.0,98.42597
257,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,49.5,97.14707
258,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,24.8,96.65519
259,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,12.4,88.39154
260,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,6.19,68.2243
261,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.71,53.76291
262,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,1.24,10.96901
263,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,0.772,16.28136
264,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,99.0,96.36005
265,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,49.5,97.24545
266,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,24.8,95.27792
267,O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,12.4,88.9818
