Molecule Name,CDD Number,SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (×/÷),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LE avg IC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LLE
CVD-0015442,,COC1CC2(C1)CC(C2)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.156,< 1.90
CVD-0015441,,CC(C)S(=O)(=O)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,66.1,66.1,,1,4.2,0.15,1.24
CVD-0015440,,Fc1cccc(CCNC(=O)C(N(C2COc3ccccc3C2)C(=O)c2cocn2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.151,< 0.890
CVD-0015439,,Fc1ccc2C(CCc2c1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.151,< 0.222
CVD-0015438,,Fc1cccc(CCNC(=O)C(N(C2CC3CCCC3C2)C(=O)c2cocn2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.160,< 0.724
CVD-0015437,,CN1C(=O)CCc2cc(ccc12)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,63.5,63.5,,1,4.2,0.151,1.76
CVD-0015390,,Clc1ccc2OCCC(CC(=O)N3CCN(CC3)C3CCOC3)(C(=O)Nc3cncc4ccccc34)c2c1,6.68,6.68,,1,5.2,0.191,2.77
CVD-0015383,,Clc1cc(Cl)c2NC(=O)CC(C(=O)Nc3cncc4ccccc34)c2c1,3.76,3.04,1.35,2,5.5,0.297,2.36
CVD-0015383,,Clc1cc(Cl)c2NC(=O)CC(C(=O)Nc3cncc4ccccc34)c2c1,2.45,3.04,1.35,2,5.5,0.297,2.36
CVD-0015380,,COc1ccc2cncc(NC(=O)C3CCOc4ccc(Cl)cc34)c2c1,0.207,0.226,1.13,2,6.6,0.358,3.47
CVD-0015380,,COc1ccc2cncc(NC(=O)C3CCOc4ccc(Cl)cc34)c2c1,0.247,0.226,1.13,2,6.6,0.358,3.47
CVD-0015379,,CNC(=O)C[C@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,49.6,49.6,,1,4.3,0.208,1.87
CVD-0015378,,CNC(=O)C[C@@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,1.81,1.81,,1,5.7,0.277,3.31
CVD-0015377,,CN(C)C(=O)C[C@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,20.5,20.5,,1,4.7,0.219,2.04
CVD-0015376,,CN(C)C(=O)C[C@@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,1.3,1.3,,1,5.9,0.275,3.23
CVD-0015375,,CN1C(=O)CC(O)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,20.7,20.7,,1,4.7,0.243,2.86
CVD-0015363,,CN1CC[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,54.4,54.4,,1,4.3,0.239,0.666
CVD-0015362,,CN1CC[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,0.246,0.246,,1,6.6,0.37,3.01
CVD-0015361,,CC(=O)N1CC[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,0.355,0.355,,1,6.4,0.334,3.86
CVD-0015360,,CC(=O)N1CC[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,17.2,17.2,,1,4.8,0.247,2.17
